UID          PID    PPID  C STIME TTY          TIME CMD
talberd     1184    1182  0 13:04 tty2     00:00:19 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
talberd     1192    1121  0 13:04 ?        00:00:00 /usr/libexec/goa-identity-service
talberd     1196    1121  0 13:04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
talberd     1201    1121  0 13:04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
talberd     1225    1182  0 13:04 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
talberd     1293    1225  0 13:04 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
talberd     1316    1121  0 13:04 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
talberd     1322    1316  0 13:04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
talberd     1336    1121  0 13:04 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
talberd     1344    1121  0 13:04 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
talberd     1359    1121  1 13:04 ?        00:02:25 /usr/bin/gnome-shell
talberd     1382    1121  0 13:04 ?        00:00:00 /usr/libexec/gvfsd-metadata
talberd     1385    1359  0 13:04 ?        00:00:00 ibus-daemon --panel disable --xim
talberd     1389    1385  0 13:04 ?        00:00:00 /usr/libexec/ibus-memconf
talberd     1390    1385  0 13:04 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
talberd     1393    1121  0 13:04 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
talberd     1396    1121  0 13:04 ?        00:00:00 /usr/libexec/ibus-portal
talberd     1406    1121  0 13:04 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
talberd     1411    1121  0 13:04 ?        00:00:00 /usr/libexec/xdg-permission-store
talberd     1416    1121  0 13:04 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
talberd     1422    1121  0 13:04 ?        00:00:00 /usr/libexec/evolution-source-registry
talberd     1432    1121  0 13:04 ?        00:00:00 /usr/libexec/evolution-calendar-factory
talberd     1440    1121  0 13:04 ?        00:00:00 /usr/libexec/dconf-service
talberd     1445    1121  0 13:04 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
talberd     1460    1121  0 13:04 ?        00:00:01 /usr/bin/nautilus --gapplication-service
talberd     1464    1121  0 13:04 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
talberd     1465    1140  0 13:04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
talberd     1483    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-a11y-settings
talberd     1485    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-color
talberd     1486    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-datetime
talberd     1488    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-housekeeping
talberd     1495    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-keyboard
talberd     1497    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-media-keys
talberd     1498    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-power
talberd     1499    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-print-notifications
talberd     1500    1121  0 13:04 ?        00:00:00 /usr/libexec/gsd-rfkill
